elderly_id,need_id
E001,1
E001,2
E001,3
E002,3
E002,6
E003,2
E003,6
E003,1
E004,8
E004,7
E004,3
E005,2
E005,4
E005,5
E005,8
E006,1
E006,6
E006,7
E006,5
E007,8
E007,6
E007,1
E008,8
E008,7
E009,7
E009,6
E009,1
E010,8
E010,1
E010,7
E011,3
E011,1
E011,2
E012,6
E012,4
E012,5
E013,5
E013,4
E013,8
E013,6
E014,2
E014,7
E014,6
E015,4
E015,8
E016,4
E016,8
E016,3
E017,7
E017,4
E017,6
E018,6
E018,4
E019,5
E019,3
E019,2
E020,8
E020,1
E020,7
E020,6
E021,7
E021,1
E022,6
E022,7
E022,2
E022,5
E023,6
E023,8
E024,7
E024,3
E025,7
E025,8
E025,6
E025,1
E026,5
E026,3
E026,1
E027,4
E027,2
E027,6
E027,8
E028,2
E028,3
E029,6
E029,1
E029,3
E029,5
E030,7
E030,8
E031,1
E031,5
E031,6
E031,3
E032,3
E032,8
E033,5
E033,3
E033,7
E033,1
E034,3
E034,5
E035,7
E035,1
E035,2
E035,8
E036,4
E036,8
E037,8
E037,3
E037,2
E038,5
E038,6
E038,3
E039,2
E039,1
E039,8
E039,6
E040,1
E040,6
E040,8
E040,3
E041,7
E041,4
E041,5
E042,7
E042,3
E042,2
E043,2
E043,3
E043,4
E043,1
E044,8
E044,5
E044,6
E045,1
E045,2
E045,4
E046,1
E046,8
E046,2
E046,3
E047,3
E047,7
E048,5
E048,3
E048,1
E049,8
E049,6
E050,3
E050,2
E050,4
E051,4
E051,5
E051,7
E051,3
E052,7
E052,8
E053,1
E053,4
E053,8
E053,7
E054,6
E054,5
E055,7
E055,6
E055,8
E056,5
E056,1
E056,4
E057,6
E057,2
E058,8
E058,7
E058,6
E058,3
E059,7
E059,8
E060,4
E060,8
E061,7
E061,5
E061,1
E061,4
E062,6
E062,2
E062,3
E063,2
E063,5
E064,2
E064,5
E064,7
E064,8
E065,6
E065,8
E065,7
E066,4
E066,1
E067,5
E067,2
E068,3
E068,7
E069,2
E069,8
E069,6
E069,4
E070,8
E070,6
E070,5
E071,6
E071,7
E071,8
E071,3
E072,8
E072,1
E073,8
E073,6
E073,3
E074,1
E074,3
E074,5
E075,5
E075,4
E076,1
E076,8
E076,3
E077,2
E077,6
E077,1
E078,7
E078,4
E078,5
E078,6
E079,1
E079,4
E079,5
E079,2
E080,8
E080,5
E080,2
E081,8
E081,1
E082,2
E082,5
E082,6
E083,1
E083,2
E084,8
E084,4
E084,5
E084,6
E085,3
E085,8
E085,7
E085,6
E086,7
E086,8
E086,3
E087,1
E087,7
E087,6
E087,3
E088,6
E088,1
E089,7
E089,3
E089,8
E089,5
E090,6
E090,1
E091,3
E091,8
E091,7
E091,4
E092,2
E092,3
E093,7
E093,6
E093,3
E093,2
E094,2
E094,6
E094,7
E094,4
E095,6
E095,1
E095,3
E095,8
E096,4
E096,3
E097,4
E097,2
E097,7
E098,2
E098,3
E099,1
E099,6
E100,3
E100,5
E100,4
NA,2
NA,3
NA,5
NA,7
E101,3
E101,4
E101,5
E101,7
E101,2
E101,3
E101,4
E101,1
E102,2
E102,3
E102,5
E102,6
E103,1
E103,3
E103,4
E103,5
E103,6
E104,2
E104,4
